terminal,number_docks,map_label,location,latitude,longitude,zip,city,neighborhood,cped_sector,council_ward,loc_just,coordinates
30053,23,2nd Ave N & N 6th Street,516 2nd Ave N,44.980536,-93.275626,55403,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis,"(44.980536000000001, -93.275626000000003)"
30054,15,Midtown Greenway & 5th Ave S,2848 5th Ave S,44.950371,-93.269278,55407,Minneapolis,Phillips West,Minn-South,6,Attraction,"(44.950371000000004, -93.269278)"
30055,24,Malcolm Ave SE & 5th Street SE,549 Malcolm Ave SE,44.9733714,-93.211264,55414,Minneapolis,Prospect Park/East River Road,Minn-East,2,Attraction,"(44.973371399999998, -93.211264)"
30056,19,Target Field Station,353 N 5th St,44.9841254,-93.2790381,55401,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis,"(44.984125399999996, -93.279038099999994)"
30057,19,McNamara Center,270 Walnut Street SE,44.9743,-93.22854,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.974299999999999, -93.228539999999995)"
30058,15,Elliot Hall,100 East River Parkway,44.97685,-93.23818,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis,"(44.976849999999999, -93.23818)"
30059,15,Glenwood Ave & N Morgan Ave.,361 Morgan Ave N,44.981147,-93.304427,55405,Minneapolis,Harrison,Minn-North,5,Equity,"(44.981147, -93.304427000000004)"
30060,23,Nicollet & Franklin,1925 Nicollet Ave,44.96342,-93.277939,55404,Minneapolis,Stevens Square,Minn-Downtown,6,Minneapolis,"(44.963419999999999, -93.277939000000003)"
30061,19,W 31st Street & Hennepin Ave S,1378 West 31st Street,44.946687,-93.29736,55408,Minneapolis,ECCO,Minn-Southwest,10,Minneapolis,"(44.946686999999997, -93.297359999999998)"
30062,15,Minneapolis Farmers Market,237 Border Ave,44.98052,-93.28542,55405,Minneapolis,Harrison,Minn-North,7,Attraction,"(44.980519999999999, -93.285420000000002)"
30063,15,Elliot Park,805 Elliot Ave S.,44.970553,-93.26079,55404,Minneapolis,Elliot Park,Minn-Downtown,7,Equity,"(44.970553000000002, -93.26079)"
30064,15,28th Street & Nicollet Ave. S,15 West 28th Street,44.9519,-93.27831,55408,Minneapolis,Whittier,Minn-Southwest,6,Equity,"(44.951900000000002, -93.278310000000005)"
30065,15,Washington Ave N & 9th Ave N,851 N Washington Ave,44.9898791,-93.2797837,55401,Minneapolis,North Loop,Minn-Downtown,7,Minneapolis,"(44.989879100000003, -93.27978370000001)"
30066,11,Wirth Beach,3450 Glenwood Ave,44.9798,-93.322066,55411,Minneapolis,Harrison,Minn-North,5,Attraction,"(44.979799999999997, -93.322066000000007)"
30067,15,Bryant Ave. N & West Broadway,2020 Bryant Ave. N,44.999341,-93.290941,55411,Minneapolis,Hawthorne,Minn-North,3,Equity,"(44.999340999999994, -93.290941000000004)"
30068,15,Girard Ave N & W Broadway Ave,2002 Girard Ave N,44.99957,-93.297071,55411,Minneapolis,Near North,Minn-North,5,Equity,"(44.999569999999999, -93.297071000000003)"
30069,15,Farview Park,680 26th Ave. N,45.005994,-93.287559,55411,Minneapolis,Hawthorne,Minn-North,3,Equity,"(45.005994000000001, -93.287559000000002)"
30070,15,West Broadway & Logan Ave N,2040 West Broadway Ave.,45.002448,-93.305857,55411,Minneapolis,Jordan,Minn-North,5,Equity,"(45.002448000000001, -93.305856999999989)"
30071,15,7th Street N & Plymouth Ave N,1280 N 7th St,44.991704,-93.293988,55411,Minneapolis,Jordan,Minn-North,5,Equity,"(44.991703999999999, -93.293987999999999)"
30072,15,36th Ave N & Irving Ave N,3598 North Irving Avenue,45.0202715,-93.299329,55412,Minneapolis,Folwell,Minn-North,4,Equity,"(45.0202715, -93.299329)"
30073,19,West 34th Street & Hennepin Ave S,3348 Hennepin Ave,44.941388,-93.298634,55408,Minneapolis,ECCO,Minn-Southwest,10,Minneapolis,"(44.941388000000003, -93.298633999999993)"
30074,15,27th Ave SE & University Ave.,315 27th Ave SE,44.97259,-93.218919,55414,Minneapolis,Prospect Park/East River Road,Minn-East,2,Minneapolis,"(44.972590000000004, -93.218919)"
30080,15,Midtown YWCA,2121 East Lake St.,44.94823,-93.24054,55407,Minneapolis,East Phillips,Minn-Southwest,9,Minneapolis,"(44.948230000000002, -93.240539999999996)"
30081,15,East Lake Street & 36th Ave S,3521 East Lake Street,44.94826,-93.22106,55406,Minneapolis,Longfellow,Minn-Southwest,9,Minneapolis,"(44.948259999999998, -93.221059999999994)"
30084,15,Hennepin Ave & N 5th Street,500 Hennepin Ave,44.97955,-93.272883,55403,Minneapolis,Downtown,Downtown West,7,Minneapolis,"(44.979550000000003, -93.272882999999993)"
30087,15,Grant Street & Portland Ave,608 E Grant Street,44.96954,-93.2669,55404,Minneapolis,Elliot Park,Minn-Downtown,7,Minneapolis,"(44.969540000000002, -93.266900000000007)"
30088,27,6th Ave. SE & University Ave.,288 6th Ave SE,44.983281,-93.24812,55414,Minneapolis,Marcy-Holmes,Minn-East,3,Minneapolis,"(44.983280999999998, -93.24812)"
30089,27,Lake Calhoun Center,3033 Excelsior Boulevard,44.9484672,-93.3172944,55416,Minneapolis,West Calhoun,Minn-Southwest,13,Attraction,"(44.948467200000003, -93.317294400000009)"
