STATION_NAME,DATE,PRECIP,TEMP_AVG,TEMP_MAX,TEMP_MIN,AVG_WIND,WDF2 (Direction of fastest 2 min wind - degrees),WDF5 (Direction of fastest 5 second wind - degrees),WSF2 (Fastest 2 min wind speed),WSF5 (Fastests 5 second wind speed),FOG,HAIL,HEAVY FOG,ICE,SMOKE/HAZE,THUNDER
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160515,0,48,65,34,8.5,270,250,19.9,28,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160516,0,59,66,49,7.6,30,40,17,27.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160517,0,56,65,46,7.8,30,20,17,23.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160518,0,57,70,43,2.2,140,160,8.9,14.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160519,0,61,74,50,8.3,180,210,17,23,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160520,0,65,76,54,6.3,120,120,14.1,19,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160521,0,67,80,53,2.5,80,100,12.1,18.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160522,0,71,84,53,8.9,180,190,21.9,27.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160523,0,74,84,66,13.6,170,180,28,36,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160524,0,73,86,66,6.9,260,240,14.1,17,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160525,0.33,72,76,66,9.2,170,170,29.1,36,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160526,0.27,71,81,61,9.2,180,190,23.9,32,1,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160527,0.24,69,70,63,7.2,130,120,18.1,23,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160528,0.31,64,68,61,5.4,20,20,13,19.9,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160529,0,68,79,62,8.9,260,300,19.9,25.9,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160530,0,72,84,60,6.7,150,160,17,21.9,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160531,0.02,70,73,63,8.9,150,150,19.9,27.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160601,0,64,67,59,12.1,270,280,23,30,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160602,0,63,75,56,7.6,320,330,16.1,21.9,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160603,0.21,66,70,61,8.1,220,230,16.1,23,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160604,0.06,65,74,58,8.9,310,320,23,28,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160605,0,67,83,55,11.6,310,310,29.1,36,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160606,0.01,66,71,56,14.3,320,320,40.9,52.1,0,0,0,0,0,0
