STATION_NAME,DATE,PRECIP,TEMP_AVG,TEMP_MAX,TEMP_MIN,AVG_WIND,WDF2 (Direction of fastest 2 min wind - degrees),WDF5 (Direction of fastest 5 second wind - degrees),WSF2 (Fastest 2 min wind speed),WSF5 (Fastests 5 second wind speed),FOG,HAIL,HEAVY FOG,ICE,SMOKE/HAZE,THUNDER
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160925,0.23,66,69,55,11.9,260,260,25.1,35.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160926,0,58,66,51,16.1,310,310,32,40.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160927,0.04,55,60,49,13.6,310,310,25.9,35.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160928,0,54,62,50,11.2,10,20,21,27.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160929,0,56,68,46,6,80,60,14.1,21,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160930,0,59,71,50,7.4,80,30,15,19.9,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161001,0,62,74,52,5.4,80,30,12.1,19,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161002,0,63,76,51,2.7,80,70,8.9,17,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161003,0,64,76,53,9.6,150,140,18.1,23,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161004,0.13,65,76,58,16.1,150,150,25.9,35.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161005,0.6,62,65,56,8.7,230,220,19.9,25.9,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161006,1.01,56,62,44,8.5,320,310,25.9,33.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161007,0.04,46,49,38,12.8,270,330,25.9,38.9,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161008,0,42,52,36,4,320,360,8.9,14.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161009,0,46,60,36,6.7,160,140,15,19.9,1,0,1,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161010,0,58,74,49,12.5,180,170,23.9,31.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161011,0,63,72,49,10.5,320,330,18.1,23.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161012,0.01,48,50,41,13.2,330,330,23,31.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161013,0,44,54,37,8.3,170,160,17,21.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161014,0,50,63,43,14.8,180,160,29.1,36,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161015,0,65,69,51,9.4,200,200,21,30,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161016,0.01,56,69,44,8.5,120,120,21.9,23.9,1,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161017,0.65,66,72,54,8.1,340,20,23,30,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161018,0.01,58,66,51,7.2,250,280,14.1,19,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161019,0,52,56,43,8.5,340,340,17,21.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161020,0,45,52,38,7.8,330,340,18.1,25.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161021,0,45,54,39,7.4,170,160,14.1,19,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161022,0,50,64,39,3.1,160,150,10.1,15,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161023,0,51,56,44,11.2,310,300,29.1,36.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161024,0,46,56,36,5.1,350,350,14.1,19,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161025,0.56,46,52,42,13.2,110,110,23,30,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161026,0.33,45,46,43,10.5,100,120,19.9,25.9,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161027,0,45,49,42,7.2,180,170,16.1,19,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161028,0,54,72,46,10.5,230,200,19.9,27.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161029,0.06,55,56,46,7.4,330,330,17,21.9,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161030,0,46,46,42,7.2,170,20,14.1,19.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161031,0,47,58,42,12.3,180,170,25.9,32,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161101,0,56,63,45,4.9,280,310,15,19,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161102,0,50,62,40,1.6,330,360,10.1,14.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161103,0,53,65,42,3.8,350,30,12.1,19,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161104,0,53,68,41,3.4,230,230,13,16.1,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161105,0,56,73,43,3.4,220,240,10.1,13,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20161106,0,58,70,46,6.9,170,170,19.9,23.9,0,0,0,0,0,0
