Terminal,Number_docks,Map Frame Label,Location,Latitude,Longitude,Zip Code,City,Neighborhood,CPED Sector,Council Ward,Location Justification (network = SP or MN)
30049,15,Nicollet Ave & W 37th Street,3700 Nicollet Ave S,44.9353179,-93.2780778,55409,Minneapolis,Lyndale,Minn-Southwest,10,Minneapolis
30050,27,3rd Street S & 2nd Ave. S,275 2nd Ave. S,44.97974,-93.26599,55401,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30051,15,7th Street & 4th Ave. S,690 4th Ave S.,44.97497,-93.266684,55415,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30052,15,Nicollet Mall & Grant Street,1300 Nicollet Ave,44.96995,-93.278133,55403,Minneapolis,Loring Park,Minn-Downtown,7,Attraction
30053,23,2nd Ave N & N 6th Street,516 2nd Ave N,44.980536,-93.275626,55403,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30054,15,Midtown Greenway & 5th Ave S,2848 5th Ave S,44.950371,-93.269278,55407,Minneapolis,Phillips West,Minn-South,6,Attraction
30055,24,Malcolm Ave SE & 5th Street SE,549 Malcolm Ave SE,44.9733714,-93.211264,55414,Minneapolis,Prospect Park/East River Road,Minn-East,2,Attraction
30056,19,Target Field Station,353 N 5th St,44.9841254,-93.2790381,55401,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30057,19,McNamara Center,270 Walnut Street SE,44.9743,-93.22854,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis
30058,15,Elliot Hall,100 East River Parkway,44.97685,-93.23818,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis
30059,15,Glenwood Ave & N Morgan Ave.,361 Morgan Ave N,44.981147,-93.304427,55405,Minneapolis,Harrison,Minn-North,5,Equity
30060,23,Nicollet & Franklin,1925 Nicollet Ave,44.96342,-93.277939,55404,Minneapolis,Stevens Square,Minn-Downtown,6,Minneapolis
30061,19,W 31st Street & Hennepin Ave S,1378 West 31st Street,44.946687,-93.29736,55408,Minneapolis,ECCO,Minn-Southwest,10,Minneapolis
30062,15,Minneapolis Farmers Market,237 Border Ave,44.98052,-93.28542,55405,Minneapolis,Harrison,Minn-North,7,Attraction
30063,15,Elliot Park,805 Elliot Ave S.,44.970553,-93.26079,55404,Minneapolis,Elliot Park,Minn-Downtown,7,Equity
30064,15,28th Street & Nicollet Ave. S,15 West 28th Street,44.9519,-93.27831,55408,Minneapolis,Whittier,Minn-Southwest,6,Equity
30065,15,Washington Ave N & 9th Ave N,851 N Washington Ave,44.9898791,-93.2797837,55401,Minneapolis,North Loop,Minn-Downtown,7,Minneapolis
30066,11,Wirth Beach,3450 Glenwood Ave,44.9798,-93.322066,55411,Minneapolis,Harrison,Minn-North,5,Attraction
