Terminal,Number_docks,Map Frame Label,Location,Latitude,Longitude,Zip Code,City,Neighborhood,CPED Sector,Council Ward,Location Justification (network = SP or MN)
30110,15,15th Ave. SE & Como Ave. SE,901 15th Ave SE,44.987517,-93.230469,55414,Minneapolis,Como,Minn-East,2,Minneapolis
30111,15,Hamline Ave N & University Ave W,389 Hamline Ave.,44.9559764,-93.1567025,55104,St. Paul,Union Park,St. Paul West,1,Equity
30112,15,Central Ave. NE & 22nd Ave NE,934 22nd Ave. NE,45.00994,-93.247114,55418,Minneapolis,Holland,Minn-East,1,Equity
30113,15,U of M St. Paul Student Center,2015 Buford Ave.,44.984527,-93.185029,55108,St. Paul,St. Anthony Park,St. Paul North,4,St. Paul
30114,11,3rd Ave S & E 38th Street,317 E 38th St,44.9338787,-93.2726088,55409,Minneapolis,Central,Minn-South,8,Equity
30115,27,Washington Ave SE & Union Street SE,110 Union St SE,44.97394,-93.2321,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis
30116,15,Minnesota History Center,440 John Ireland Blvd,44.949053,-93.10673,55102,St. Paul,St. Paul Downtown,St. Paul Downtown,2,Attraction
30117,15,10th Street E & Cedar Street,34 East 10th Street,44.950189,-93.09759,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30118,15,7th Place & Jackson Street,151 E. 6th Street,44.949433,-93.091207,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30119,23,Union Depot,229 E. 4th St,44.948399,-93.086584,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30120,19,Kellogg Blvd E & Jackson Street,121 Kellogg Blvd E,44.946191,-93.088802,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30121,15,7th Street E & Wacouta Street,232 7th St. E.,44.950766,-93.089245,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30122,19,Broadway Street N & 4th Street E,Saints Stadium,44.94965,-93.0845,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30123,15,Minnesota Dept. of Transportation,709 Martin Luther King Blvd,44.95385,-93.10445,55103,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30124,15,Kellogg Blvd W & Smith Ave,234 Kellogg Blvd W,44.945173,-93.103863,55102,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30125,15,Columbus Ave & Cedar Street,"600 Cedar St, St Paul, MN 55101",44.952351,-93.0995487,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30126,19,5th Street E & Minnesota Street N,72 E. 5th St,44.94683,-93.09231,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30127,15,Landmark Plaza,50 W. 5th St,44.945267,-93.096114,55102,St. Paul,St. Paul Downtown,St. Paul Downtown,2,Attraction
30128,15,Wells Fargo Place,2 E. 7th St,44.94813,-93.09663,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30129,15,Shepard Road & Sibley Street,,44.9463866,-93.0834326,55102,St. Paul,St. Paul Downtown,St. Paul Downtown,2,Attraction
30130,15,Wabasha Street S & E Fillmore Ave,116 Wabasha St S,44.940686,-93.089983,55107,St. Paul,West Side,St. Paul Downtown,2,Equity
30131,19,Harriet Island,150 W Water Street,44.93768,-93.094532,55107,St. Paul,West Side,St. Paul Downtown,2,Attraction
30132,15,Kellogg Blvd & Wabasha Street,2 Kellogg Boulevard E,44.943846,-93.09227,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30133,15,Schmidt Brewery,900 7th St W,44.92898,-93.124281,55102,St. Paul,West Seventh,St. Paul West,2,St. Paul
30134,19,Upper Landing,230 Spring Street,44.940902,-93.098712,55102,St. Paul,West Seventh,St. Paul Central,2,St. Paul
30135,15,7th Street W & Grand Ave,298 W. 7th St,44.94144,-93.10624,55102,St. Paul,West Seventh,St. Paul Central,2,St. Paul
30136,15,Science Museum of Minnesota,120 Kellogg Blvd W,44.942846,-93.097836,55102,St. Paul,St. Paul Downtown,St. Paul Downtown,2,Attraction
30137,19,Selby Ave & Virginia Street,375 Selby Avenue,44.9467,-93.1151,55102,St. Paul,Summit-University,St. Paul Central,1,St. Paul
30138,15,University Ave & Western Ave,394 University Ave W,44.95562,-93.11665,55103,St. Paul,Thomas-Dale,St. Paul Central,1,Equity
30139,15,E 14th Street & N Robert Street,650 North Robert Street,44.954697,-93.097817,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30140,15,Rice Street & University Ave W,,44.9556215,-93.1057432,55155,St. Paul,St. Paul Downtown,St. Paul Downtown,1,St. Paul
30141,19,N Robert Street & E 10th Street,495 N. Robert St.,44.951132,-93.094545,55101,St. Paul,St. Paul Downtown,St. Paul Downtown,2,St. Paul
30142,25,9th Street N & Hawthorne Ave,900 Hawthorne Avenue,44.977128,-93.277505,55403,Minneapolis,Downtown West,Minn-South,7,Minneapolis
30143,19,Chicago Ave & Washington Ave S,201 Chicago Avenue South,44.977521,-93.256736,55415,Minneapolis,Downtown East,Minn-Downtown,7,Minneapolis
30144,15,N 4th Ave & W River Parkway,10 North 4th Avenue,44.988461,-93.269087,55401,Minneapolis,North Loop,Minn-Downtown,7,Attraction
30145,15,Minneapolis Park & Recreation Board,2117 West River Road North,45.00095,-93.277037,55411,Minneapolis,Hawthorne,Minn-North,3,Minneapolis
30146,15,North Mississippi Regional Park,4900 N Mississippi Dr,45.042435,-93.283734,55430,Minneapolis,Webber-Camden,Minn-North,4,Attraction
30147,15,Lake Street & West River Parkway,4722 E Lake Street,44.948452,-93.206201,55406,Minneapolis,Cooper,Minn-South,2,Attraction
30148,15,46th Street Light Rail Station,4522 Hiawatha Ave,44.920466,-93.21953,55406,Minneapolis,Ericsson,Minn-South,12,Minneapolis
30149,27,Minnehaha Park,4802 Minnehaha Ave,44.916906,-93.213587,55417,Minneapolis,Hiawatha,Minn-South,12,Attraction
30150,19,Fort Snelling Visitor Center,200 Tower Ave,44.894044,-93.187381,55111,St. Paul,Highland Park,St. Paul West,3,Attraction
30151,15,Boom Island Park,724 Sibley St. NE,44.99254,-93.270256,55413,Minneapolis,St. Anthony West,Minn-East,3,Attraction
